"ID","AIC.null","AIC.lin","AIC.quad","AIC.cub"
117,-2257.1392164665,-2257.33131412572,-2255.48880642439,-2254.64000424014
422,-2429.68638466886,-2428.44952880762,-2430.72859690896,-2429.16356955939
783,-3769.46979993026,-3773.42900593962,-3781.40016899941,-3782.32049915381
953,-2097.26871142672,-2103.90613809786,-2110.76178284694,-2122.25417798423
1179,-2412.09102650947,-2410.20324699045,-2412.28008893318,-2414.05486423341
1327,-3220.67219094748,-3229.09158450924,-3235.88058219358,-3237.76494395587
1375,-1834.75702110266,-1833.42759723737,-1831.5577555663,-1829.58090314686
1655,-2234.51189415197,-2233.09505665701,-2231.45914429973,-2229.5055809069
1799,-2381.74508287082,-2379.75879439491,-2380.78456146573,-2379.79729737653
2111,-5864.94538787274,-5864.67090939219,-5866.71017251656,-5869.57931640734
2156,-2135.86912006799,-2133.8731502139,-2135.95568938788,-2143.05324303118
2171,-4371.53305196821,-4369.61887071851,-4370.04966868568,-4368.10180504473
2252,-3785.85697090806,-3783.85710761181,-3781.89214152191,-3779.89336962339
2880,-1315.75325012579,-1319.63636737397,-1326.69948469131,-1326.69136402034
3073,-1951.63591756018,-1952.32382798436,-1958.60093439775,-1959.86161610158
3563,-8956.3484440974,-8954.94132624221,-8959.0217216016,-8958.79660967298
3684,-1597.49717592699,-1596.08091377085,-1596.11744206802,-1594.69906863048
3904,-1963.46352001271,-1961.72142312882,-1960.6169591783,-1959.80059544546
4464,-2018.46041805222,-2016.58758008326,-2014.62343586073,-2014.49953943108
4996,-3539.26250988317,-3537.65568863842,-3535.6698032037,-3534.08707562514
4998,-3870.45601010928,-3868.46582909445,-3866.49921069992,-3865.08554772116
5057,-7736.47601401319,-7741.32790207962,-7747.45695660089,-7746.07176215215
5066,-8212.80558628487,-8214.98715350922,-8214.68625367175,-8213.03302755535
5230,-2867.86953027388,-2874.81641864241,-2883.71846172052,-2895.8071857259
5530,-2591.09938916512,-2589.81695730456,-2587.82279772437,-2586.89174787444
5877,-1458.21812274981,-1456.21967503405,-1456.65770260243,-1455.04623831662
5911,-2577.51290319118,-2583.50133723883,-2586.55644966197,-2586.73425779062
6083,-2684.53508637738,-2682.86817005276,-2680.93136207566,-2681.76186778204
6168,-3752.87520334335,-3760.17184733305,-3775.50978378603,-3781.29013858383
6324,-1605.99570856293,-1606.11226190135,-1612.49822242145,-1620.36638445055
6412,-2611.98057435765,-2612.61252888261,-2622.08963353982,-2633.46966458007
6469,-3851.39830680835,-3854.55647673633,-3856.60660356203,-3856.41794147417
6471,-5395.64644434314,-5393.64800998707,-5396.76363420857,-5394.76557792212
6478,-3622.17388476734,-3620.95078844034,-3618.95095289838,-3618.3731658409
6899,-2293.54584016227,-2295.27356633618,-2306.93963488955,-2336.21711351155
7038,-3461.99063305642,-3464.46224404447,-3462.91043525634,-3461.01554692285
7119,-4045.26132171023,-4047.3909778667,-4050.82756060489,-4056.09816984195
7179,-2252.5426061905,-2253.65898996659,-2255.34473469604,-2255.7636430296
7325,-5128.44759605677,-5126.46153928146,-5124.46222861989,-5125.40090846096
7504,-3567.75077879794,-3565.80494212434,-3571.73142120468,-3578.50004891267
7627,-3134.52720584697,-3133.01563462243,-3132.48993786347,-3135.11880074167
7901,-2588.85932523238,-2592.04046296192,-2594.52376739531,-2596.00021394067
8022,-4399.4633983248,-4406.15655305479,-4428.94910983359,-4447.0508357982
8091,-4327.17500513196,-4328.95728897445,-4327.046526351,-4325.15253613158
8112,-1640.10118482058,-1638.62471275451,-1636.85166980803,-1635.60929361514
8146,-2942.75981194391,-2942.72686645075,-2941.33700811552,-2939.91372989194
8287,-3001.30838093412,-3004.21576202287,-3002.97129734629,-3001.10454721842
8312,-4178.82211097791,-4178.33390167679,-4181.68060100092,-4184.04364104211
8313,-2855.10799572942,-2853.7335348537,-2852.75227910349,-2856.0734845931
8333,-2995.91027849057,-2993.92286185829,-2992.13478877531,-2990.61536003216
8335,-3230.3854089623,-3231.80718393375,-3229.98504456523,-3228.07410663071
8399,-1709.13102259944,-1710.82107348581,-1709.57210349414,-1707.86593832069
8432,-2821.31243940357,-2820.34801654221,-2819.12926113638,-2821.57084551684
8438,-3180.75841305825,-3178.83278836729,-3177.45566519042,-3176.44117732644
8464,-2828.83128245925,-2832.09644715195,-2831.19390081819,-2829.28611987098
8489,-3531.11483988071,-3539.94741212612,-3541.64176483637,-3539.88052966194
8561,-1848.44321612568,-1850.77154037985,-1857.60696874036,-1862.55313454556
8693,-1582.91912700011,-1580.92725268031,-1581.12515772934,-1580.80965551784
8754,-5471.13023104628,-5469.27580300022,-5467.54877351102,-5468.88239837086
8918,-2803.40898015222,-2801.41216788377,-2799.49845316947,-2798.12490293036
9100,-3202.04794696824,-3206.32729916319,-3209.97953124598,-3213.87750751195
9322,-3806.42858342548,-3808.1594380006,-3811.88482632817,-3814.57926265885
9432,-1541.73250383179,-1551.83187431446,-1555.8567162996,-1554.90808674531
9586,-3210.49360892463,-3211.60698646586,-3214.82121579829,-3217.88166815743
9622,-4058.29022382606,-4056.33207903111,-4054.50949080079,-4052.59226357402
9645,-3647.83582800161,-3649.0455637729,-3651.41472806263,-3652.61969366016
9693,-2371.22910146749,-2369.29170654867,-2367.38903666301,-2370.06285710708
9795,-4407.85547548618,-4406.60055402505,-4404.61967847151,-4403.57955061238
9807,-4715.06316720904,-4713.15880306614,-4711.18144091353,-4712.48664524291
9810,-3268.8962428694,-3267.74852623119,-3266.06057451024,-3264.06301925791
9811,-3494.29412507344,-3496.05257118765,-3494.12307518116,-3495.16795597328
9938,-1981.34408927191,-1979.50634413707,-1983.03632342913,-1982.42606561137
9988,-4387.47564225091,-4385.48171296652,-4389.98721728151,-4390.80867353312
10078,-8158.346807702,-8157.10267168688,-8157.85212772076,-8164.18631185733
10094,-3218.4128173871,-3220.37984062765,-3227.77949238131,-3245.01880868811
10227,-2983.90298488313,-2982.96549183853,-2981.11693809707,-2980.94932312735
10657,-4255.40976298662,-4255.24948283709,-4259.29369119147,-4260.82099502583
10680,-3219.3838227469,-3217.85360668357,-3216.09375923251,-3216.88505090245
11030,-5848.50330673787,-5858.14443753786,-5869.15942885,-5875.15392884845
11164,-2762.83809702666,-2760.86746354367,-2759.03710648741,-2768.28441038003
11467,-4671.93018704299,-4672.63556865566,-4670.75980015028,-4670.70116829942
11476,-1909.11556038485,-1911.50234092056,-1920.07081485614,-1923.3762142713
11535,-2192.73246499224,-2196.50851885052,-2195.03389708008,-2194.41381471786
11570,-3750.06290365438,-3760.01195461132,-3777.48363331586,-3784.74385469446
11631,-2481.46639489929,-2486.08641233459,-2494.19920967637,-2492.772477232
11736,-3279.32412749221,-3277.34083780373,-3279.6463160359,-3287.89531376301
11762,-2379.4902052164,-2380.89474280745,-2384.52547854295,-2392.69664602737
11777,-2580.86893193938,-2578.8691473773,-2577.00313516633,-2578.75970107974
12763,-3097.67363735173,-3104.12321622854,-3102.2299259802,-3108.6799957493
13210,-2356.70607954826,-2354.89214565245,-2357.59364824827,-2362.21797402074
13333,-2867.20880224215,-2873.39835125195,-2877.22076678451,-2888.54171278145
13557,-2817.18108216543,-2817.2532056465,-2817.25547391863,-2821.22561468204
13604,-1862.61909113813,-1863.18642454047,-1866.66734582369,-1872.45059208724
13605,-2931.82664166486,-2930.83823861485,-2929.83965498192,-2928.17873278594
14052,-3434.82809497456,-3434.89655483423,-3434.66146820611,-3432.84636915668
14295,-3212.9587157859,-3219.03037486386,-3233.96134111778,-3251.4360916519
14298,-3544.48179497711,-3544.23013223004,-3543.64734735702,-3541.8501239102
14407,-5702.21489604233,-5706.89203084677,-5715.68086094292,-5731.40850298844
14429,-2356.58606919726,-2361.25762577071,-2375.25873047535,-2374.62848837882
14474,-1904.28060446078,-1945.04183597378,-1943.04888750293,-1950.63670796137
14477,-2635.23172518657,-2633.24765381872,-2632.27770045892,-2630.30133588411
14557,-3040.60672459673,-3038.67724299902,-3040.97128332196,-3052.31112116867
14643,-6147.19310801452,-6151.08349512015,-6157.51175834203,-6162.34580804271
14760,-3384.58784004548,-3382.59312586794,-3382.04297936357,-3383.00652262996
